text,label
"‬    طلب صيانة الخزان الارضي، وسوء اللياسة الخارجية للخزان، وأفياش الكهرباء المقابلة للخزان تهرب ماء؟!!!!!!",tank_insulation
"هبوط في الكراج",structural
"الباب لايغلق جيدا",doors
"جميع مراوح الشفط بجميع دورات المياه غير مركبه بس موضعه وضع بمكانها غير موصوله نهائيا",ac_ventilation
"تم تعديل صنابير المياة بعد الميلان ولكن تم التكسير بدون تلييس وصبغ البوية بالمطبخ. كذلك، صنبور الماء بالفناء الخارجي اما الكراج غير مثبت  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mb6jj5i0405gzs1mb6jj5i11mb6jj5i2.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mb6jj6wg405gzs1mb6jj6wh1mb6jj6wi.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mb6jj7su405gzs1mb6jj7sv1mb6jj7sw.png",plumbing
"نافذة الحمام تفتح بالكامل",doors_windows
"يوجد هبوط في ارضية موقف السيارة القراج",structural
"شروخ في قزاز الباب الجانبي  تم اخذ المقاسات مسبقا",doors_windows
"تسريب في حمام النوم الرئيسي",plumbing
"تشققات فالجدار",paints
"1 - عدد 2 حمام توجد رائحة تخرج منهم واح سبق وان تمت صيانته ولكن لازالت المشكلة مستمره والحمام الاخر رائحة وعند سحب السيفون يمتلئ الافرنجي 2 - شباك صالة الطعام لابد من صيانته لانه لا يغلق تمام ويحتاج صيانه 3 - جدار السور يحتاج صيانه بسبب فقاعات في الجدار من الاسفل 4 - مروحة الشفط في حمام لها صوت وسبق وان تمت صيانتها ولكن الان لها صوت عالي",drainage
"رائحه كريهه في الدور 3 عند الغساله  يفضل الزياره يوم السبت",smells
"يوجد رائحة كريهة تخرج من دورات المياه بشكل متكرر",smells
"لا يوجد غطاء للخزان فضلاً توفير الغطاء",tank_insulation
"بزبوز الماء يهرب",plumbing
"يوجد فراغ بين الجدار وباب السحاب الداخلي ، من المفترض ان يُركب ربل .",doors
"بلاط مدخل دورة المياه",ceramics
"تسليك",drainage
"مشكلة فيي مقاسات الشبابيك",doors_windows
"ابواب تحتاج صيانة",doors_windows
"تهريب مغاسل رخام",plumbing
"تسريب بالحوش مرفق الصوره  وتسريب اسفل المغسله",waterproofing
"خطأ في ميزان الباب ، والباب لا يغلق",doors_windows
"غطاء الخزان الارضي لا يغلق",tank_insulation
"اضرار في شبك نافذة المقلط https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mfmwrtsf405gzw1mfmwrtsg1mfmwrtsh.png",doors_windows
"تجمع مياه بالسطح مما تسبب تسريب لغرف",waterproofing
"كراكات",cracks
"تنظيف الخزان الارضي   حيث انه فارغ من المياة حالياً لغرض تنظيفه باسرع وقت  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mf3na93e405gzp1mf3na93f1mf3na93g.png",cleaning
"الرموت غير مبرمج على الباب",garage_door
"كثرة التشققات بالجدران ومعالجتها عدة مرات والرجوع ولم تنحل بشكل جذري والغرف اصبحت عدة الوان يرجى المعالجة  دورة المياه ظهور رائحة قوية",cracks
"لازال يوجد تجمع مياه مع العلم انه لم يتم استبدال الانترلوك بقطع جديدة بل تغطية المكسور بالاسمنت",grading
"عدم وجود مسامير للبالوعة https://retal-objects.yukiroad.ovh/tickets/pictures/ms6nflmoeey3l1ms6nflmp1ms6nflmq.png",drainage
