text,label
الماء رجع من صفاية المطبخ,انسداد مجاري
رجوع مياه الصرف من صفاية الحمام,انسداد مجاري
الصرف مسدود الماء مو راضي يروح,انسداد مجاري
التصريف مسدود وماء الحمام راجع,انسداد مجاري
انسداد في صرف دورة المياه,انسداد مجاري
سيفون حمام مسدود ما يصرف,انسداد مجاري
صفاية المطبخ مسكره ما يجي منها صرف,انسداد مجاري
الماء يرجع من الصفاية ما يتصرف,انسداد مجاري
انسداد في مجرى الصرف الصحي,انسداد مجاري
الصرف عكسي والماء طالع من الصفاية,انسداد مجاري
تسكر الصرف في دورة مياه الماستر,انسداد مجاري
مجرى الصرف مسدود في الحمام,انسداد مجاري
انسداد في الصرف الصحي خارج الفيلا,انسداد مجاري
الصفاية مسدودة والماء يفيض,انسداد مجاري
تصريف المياه بطيء جداً في الحمام,انسداد مجاري
مسدود الصرف في دورة مياه الدور الأرضي,انسداد مجاري
يوجد انسداد في ماسورة الصرف الخارجية,انسداد مجاري
الجرجور مسدود ولا يصرف,انسداد مجاري
يوجد تهريب داخلي للحنفية,تسريبات مياه
تسريب من الشطاف في حمام الماستر,تسريبات مياه
ينقط ماء من الحنفية في المطبخ,تسريبات مياه
يوجد تسريب من ماسورة المياه,تسريبات مياه
تهريب مياه من تحت المغسلة,تسريبات مياه
لدي تسريب من السقف في دورة المياه,تسريبات مياه
تهريب بماسورة الحوش الخارجية,تسريبات مياه
يوجد تسريب مستمر من الحنفية,تسريبات مياه
الخلاط يهرب ماء من الأسفل,تسريبات مياه
تسرب مياه في سقف المجلس,تسريبات مياه
تنقيط ماء من ماسورة تحت الحوض,تسريبات مياه
كرسي الحمام يهرب موية باستمرار,تسريبات مياه
تسريب المياه من الخلاط لا يتوقف,تسريبات مياه
رشح مياه في الجدار من ماسورة مكسورة,تسريبات مياه
يوجد تهريب في صبور الحوش الخارجي,تسريبات مياه
تسريب من المغسلة الخارجية,تسريبات مياه
الماء يهرب من أسفل الكرسي الافرنجي,تسريبات مياه
تسريب مياه تحت بلاط الحمام,تسريبات مياه
رشح مياه من ماسورة في السقف,تسريبات مياه
يوجد كسر في خزان المياه يجب تغييره,خزانات
الخزان الأرضي متسخ يرجى تنظيفه,خزانات
لا يوجد غطاء للخزان الأرضي,خزانات
رقبة الخزان مكسورة تحتاج إصلاح,خزانات
تشققات وكسور في رقبة الخزان الأرضي,خزانات
الخزان السفلي فيه كسر يجب تغييره,خزانات
غطاء الخزان لا يغلق محكم,خزانات
عزل رقبة الخزان الأرضي مطلوب,خزانات
تنظيف الخزان العلوي والسفلي وتعقيمه,خزانات
الخزان العلوي متسخ ويحتاج صيانة,خزانات
ترسب مياه في الخزان العلوي,خزانات
احتاج تعبأة الخزان ماء,خزانات
الخزان لا يمتلئ وتعبئته بطيئة,خزانات
فتحة الخزان مكسورة والأوساخ تنزل,خزانات
الغطاس في خزان المنزل خربان,خزانات
خزان الماء يحتاج تعقيم وتنظيف,خزانات
عوامة الخزان الأرضي خربانة,خزانات
مشكلة في عوامة الخزان الأرضي,خزانات
العوامة لا تعمل والخزان يفيض,خزانات
روائح صرف صحي في دورات المياه مزعجة جداً,صرف صحي
يوجد ريحة كريهة تخرج من الصفايات,صرف صحي
رائحة سيئة في الحمام تأتي من الصرف,صرف صحي
رائحة قوية في دورات المياه من الصرف الصحي,صرف صحي
تخرج رائحة كريهة من كرسي الحمام,صرف صحي
ريحة غير طبيعية من الحمام مزعجة,صرف صحي
الحمام فيه رائحة صرف صحي مستمرة,صرف صحي
روائح من الجرجور والصفايات,صرف صحي
رائحة من المجاري تأتي في كل دورات المياه,صرف صحي
ريحة خربانة من كرسي الحمام تأتي للدرج,صرف صحي
صرف صحي يسبب روائح في الطابق الأرضي,صرف صحي
رائحة كريهة من صفاية الحمام لا تنقطع,صرف صحي
تخرج رائحة مجاري من فتحة التصريف,صرف صحي
مشكلة متكررة روائح من الصفايات,صرف صحي
رائحة الحمام لا تطاق وتفتح لبقية الغرف,صرف صحي
مضخة المياه لا تعمل والماء مقطوع,مضخات
مضخة الماء الدينمو لا تعمل والماء مقطوع عن البيت,مضخات
ضغط المياه ضعيف جداً في كل الطابق,مضخات
الدينمو عطلان والماء ما يطلع للدور الثاني,مضخات
المضخة تشتغل لكن الماء ما يطلع للخزان العلوي,مضخات
ضغط الماء منخفض جداً في الحمامات,مضخات
المضخة تصدر صوت ولا ترفع الماء,مضخات
الماء الساخن ضعيف الضغط في الحمام,مضخات
الدينمو يشتغل لكن الماء ضعيف,مضخات
ضعف في ضغط المياه في الدور الثاني,مضخات
مضخة رفع الماء من الخزان الأرضي للعلوي لا تعمل,مضخات
الماء لا يصل للدور العلوي بضغط كافٍ,مضخات
مشكلة في المضخة الماء ما يوصل للسطح,مضخات
ضغط الماء خفيف جداً في جميع الحمامات,مضخات
المضخة تحتاج صيانة لضعف ضغط المياه,مضخات
حنفية المطبخ تقطر وتحتاج تغيير,صنابير وأدوات صحية
صنبور دورة المياه مكسور يحتاج استبدال,صنابير وأدوات صحية
خلاط الحمام خربان ويحتاج تغيير,صنابير وأدوات صحية
تغيير حنفيات الحمام القديمة,صنابير وأدوات صحية
الصنبور لا يغلق والماء يسيل باستمرار,صنابير وأدوات صحية
كرسي الحمام متهالك ويحتاج تبديل,صنابير وأدوات صحية
المغسلة متصدعة وتحتاج استبدال,صنابير وأدوات صحية
بانيو الحمام خربان يحتاج صيانة,صنابير وأدوات صحية
الشطاف مكسور ولا يعمل,صنابير وأدوات صحية
الأدوات الصحية فيها اختلاف في اللون وتشهيب,صنابير وأدوات صحية
مقبض الحنفية مكسور لا يغلق,صنابير وأدوات صحية
صنبور المطبخ ما يغلق والماء نازل,صنابير وأدوات صحية
كرسي حمام الماستر يحتاج تغيير كامل,صنابير وأدوات صحية
الخزان الارضي مكسور ويحتاج تغيير,خزانات
خزان الماء مكسور يجب استبداله,خزانات
الخزان العلوي متشقق ويسرب,خزانات
وجود كسر في الخزان ونظام التعبئة لا يعمل,خزانات
الخزان السفلي خربان ويحتاج صيانة,خزانات
رقبة الخزان السفلي مكسورة تحتاج معالجة,خزانات
الخزان لا يمتلئ وعوامته خربانة,خزانات
