text,label
باب الكراج لا يفتح ولا يغلق,garage_door
موتور الكراج متعطل ولا يعمل,garage_door
ريموت باب الكراج لا يستجيب,garage_door
باب الجراج مكسور ولا يتحرك,garage_door
سكة باب الكراج خربانة والباب لا ينزل,garage_door
فنر باب الكراج انكسر,garage_door
الكراج لا يفتح باليد ولا بالريموت,garage_door
موتور الجراج يصدر صوت ولا يفتح,garage_door
ريموت الجراج توقف عن العمل,garage_door
باب الكراج يفتح لوحده,garage_door
سكة الكراج منحرفة والباب ما ينزل صح,garage_door
محرك باب الكراج يشتغل بس الباب ما يتحرك,garage_door
باب الكراج متعلق في نص الطريق,garage_door
تغيير فنر باب الجراج,garage_door
الريموت الخاص بالكراج لا يعمل والكراج محتاج برمجة,garage_door
باب الكراج ينزل بطيء جداً,garage_door
صوت غريب من موتور الكراج عند التشغيل,garage_door
باب الكراج ما يقفل نهائياً,garage_door
سكة باب الكراج تحتاج تشحيم وصيانة,garage_door
الكراج تعطل الريموت والباب ما يفتح,garage_door
ارضية الكراج متشققة وتحتاج ترميم,structural
ارضية الجراج فيها شقوق كبيرة,structural
بلاط ارضية الكراج متكسر ومنخسف,structural
ارض الكراج فيها هبوط وشقوق,structural
تشققات في ارضية الكراج تحتاج معالجة,structural
عوامة الخزان مكسورة والخزان يفيض,pumps
العوامة عطلانة والماء ما يوقف,pumps
خزان المياه يمتلئ ويطفح بسبب العوامة,pumps
العوامة تحتاج تبديل والخزان يفيض,pumps
الخزان يفيض بسبب عطل في العوامة,pumps
العوامة ما تعمل والخزان امتلأ وطفح,pumps
عوامة المضخة تحتاج تغيير,pumps
الخزان مليان وطافح بسبب العوامة المعطوبة,pumps
عوامة الخزان العلوي لا تقفل الماء,pumps
تغيير عوامة الخزان الارضي,pumps
نافذة الالوميتال لا تغلق بشكل صحيح,doors_windows
باب الالوميتال متكسر ولا يغلق,doors_windows
الالوميتال يحتاج صيانة الأبواب لا تقفل,doors_windows
نافذة الوميتال كسر زجاجها,doors_windows
شباك الالوميتال متعطل ولا يفتح,doors_windows
الوميتال محتاج تشحيم وضبط الأبواب,doors_windows
باب الالوميتال الخارجي مكسور,doors_windows
ابواب الالوميتال تحتاج استبدال اللاستيك,doors_windows
الالوميتال متعطل لا يغلق ولا يفتح,doors_windows
فتحة هواء في نافذة الالوميتال,doors_windows
باب غرفة النوم لا يغلق,doors
باب الغرفة خشب خربان ولا يقفل,doors
مفصلة باب الغرفة متكسرة,doors
باب الحمام الخشب محتاج تصليح,doors
قفل باب الغرفة لا يعمل,doors
باب الغرفة يصدر صوت مزعج,doors
الباب الخشبي مكسور ولا يتحرك,doors
مفتاح باب الغرفة مكسور,doors
باب المطبخ الخشب لا يغلق صح,doors
الأبواب الداخلية تحتاج صيانة المفصلات والأقفال,doors
ارضية الكراج متشققة وتحتاج ترميم,structural
ارض الكراج فيها هبوط وكسور,structural
ارضية الجراج متصدعة,structural
بلاط الكراج مكسور وفيه شقوق,structural
ارضية موقف السيارات تحتاج ترميم,structural
الكراج ارضيته فيها شروخ كبيرة,structural
ارضية الكراج تحتاج صبة خرسانية,structural
موقف السيارات ارضيته متشققة,structural
هبوط في ارضية الكراج,structural
تشققات في ارض الجراج,structural
يوجد شروخ في جدران الغرفة,cracks
تشققات في الجدار الخارجي للفيلا,cracks
صدع واضح في جدار الصالة,cracks
شروخ كبيرة في سقف غرفة النوم,cracks
تشقق في جدار الحوش من الخارج,cracks
يوجد شق في الجدار الحامل,cracks
صدع في الجدار وتشققات رأسية,cracks
شروخ في زوايا النوافذ والأبواب,cracks
تشققات في سقف المجلس وتحتاج معالجة,cracks
تصدعات في جدار الفيلا من الخارج,cracks
شروخ عميقة في جدران المطبخ,cracks
تشقق في الجدار يزداد مع الوقت,cracks
صدع في جدار الحمام تحتاج ترميم,cracks
كراكات في جدار الغرفة الرئيسية,cracks
شروخ في جدران الدور الأول كاملة,cracks
تشققات في واجهة المبنى من الخارج,cracks
صدع في العمود الخرساني,cracks
شروخ في الجدار الداخلي للصالة,cracks
تشققات رأسية في جدار غرفة الضيوف,cracks
يوجد صدع في سقف المدخل الرئيسي,cracks
شروخ وتشققات في جميع جدران الفيلا,cracks
تقشر دهان الجدران مع وجود شروخ صغيرة,cracks
تشققات في الجص والدهان في سقف الغرفة,cracks
شقوق في الجدار تحتاج حشو وترميم,cracks
انهيار جزئي في جدار الحوش الخارجي,structural
تهدم سور الحوش وانهيار أجزاء منه,structural
هبوط في أساس الجدار الخارجي,structural
سور مائل ويحتاج إعادة بناء,structural
تشقق عميق في الأساسات,structural
جدار حامل متشقق ويحتاج تدعيم,structural
هبوط في مستوى الأرضية بشكل واضح,structural
تصدع في الصبة الخرسانية,structural
انهيار بلاطات السقف في الممر,structural
شروخ هيكلية عميقة في جدران حاملة,structural
ارضية الكراج متشققة وتحتاج ترميم,structural
ارض الكراج فيها هبوط وكسور,structural
